Perplexity,AverageDiscountedReturn,MeanKLBefore,AveragePolicyStd,ItrTime,Iteration,MaxReturn,NumTrajs,PolicyExecTime,ProcessExecTime,MinReturn,dLoss,LossBefore,LossAfter,EnvExecTime,StdReturn,MeanKL,AverageReturn,Time,ExplainedVariance,Entropy
70.5849,9.38371689867,0.0,1.0,4.039615869522095,0,78.8588873646,358,1.4707584381103516,0.10404467582702637,3.12544256402,0.02476706624,4.36601332865e-08,-0.0247670225799,1.814666748046875,5.75388883239,0.00739423790947,9.99376711627,4.039609909057617,2.9649827038e-10,4.25682
69.7802,10.807340509,0.0,0.996261,3.9386401176452637,1,129.596616471,329,1.4790582656860352,0.1010129451751709,3.01508013645,0.0335378257753,-9.10742325999e-09,-0.0335378348827,1.8547286987304688,9.03179485709,0.00996994879097,11.7179472629,7.983174085617065,0.346814007016,4.24535
68.9488,14.8783297885,0.0,0.99226,4.113361835479736,2,231.498095184,274,1.541001796722412,0.1039268970489502,3.89198635403,0.028272514098,8.24837975699e-09,-0.0282725058496,1.9021859169006348,23.660285828,0.00965583138168,17.4264797789,12.101166009902954,0.289595832983,4.23336
69.2193,18.2618784366,0.0,0.9936,4.5704710483551025,3,185.671009982,239,1.751283884048462,0.11844062805175781,3.64613848856,0.0242055124297,-4.59410420817e-09,-0.0242055170238,2.0923874378204346,28.2258852114,0.00666927685961,22.1393558822,16.675211906433105,0.203747856239,4.23728
